iter	Logloss
0	0.6880107416
1	0.683785195
2	0.6792231877
3	0.6733940193
4	0.6693232412
5	0.6644355887
6	0.6594837503
7	0.6550101381
8	0.6503503622
9	0.6473189421
10	0.6425660945
11	0.6391243115
12	0.6355968454
13	0.6314397611
14	0.6281716854
15	0.6236575568
16	0.6193489561
17	0.6153635736
18	0.6124778727
19	0.6090845944
20	0.6056701534
21	0.6023512321
22	0.5996956152
23	0.5959781262
24	0.5925738672
25	0.5885365012
26	0.5853527117
27	0.5818321319
28	0.5787129079
29	0.5758703513
30	0.5729548752
31	0.5689644651
32	0.5667254393
33	0.5639019701
34	0.5609051137
35	0.55874928
36	0.5557069411
37	0.5527081214
38	0.5500665954
39	0.54713665
40	0.545022194
41	0.542522496
42	0.5401002776
43	0.5380801495
44	0.5355247643
45	0.5329195396
46	0.5301134942
47	0.5281102635
48	0.5256352658
49	0.5232969747
50	0.5208270807
51	0.5190946834
52	0.5165932606
53	0.5140688734
54	0.5124011338
55	0.5101320058
56	0.5081556236
57	0.5058685995
58	0.5035403112
59	0.5021390338
60	0.5003760609
61	0.4989489122
62	0.4978125647
63	0.4961095025
64	0.4944903849
65	0.4924694214
66	0.4905319126
67	0.4887971302
68	0.4869718153
69	0.4854811027
70	0.4838943445
71	0.4825985122
72	0.4810501798
73	0.4799602672
74	0.4786650734
75	0.4768076261
76	0.475325658
77	0.473774134
78	0.4724250198
79	0.4712679609
80	0.4704619955
81	0.4692415079
82	0.4680075008
83	0.4669034903
84	0.465096469
85	0.464010163
86	0.4629602204
87	0.4621429553
88	0.4606903742
89	0.4598386789
90	0.4585293252
91	0.4571713381
92	0.4558624531
93	0.4550315134
94	0.4540634724
95	0.4528447176
96	0.4518252977
97	0.4510471896
98	0.4497032992
99	0.4484722498
100	0.4472867062
101	0.4464622764
102	0.4452855084
103	0.4442400924
104	0.4432208942
105	0.4421431401
106	0.4411860826
107	0.4402668812
108	0.4393135963
109	0.4383862235
110	0.4372138218
111	0.4363148371
112	0.4354838627
113	0.4346209835
114	0.4332765508
115	0.4324730491
116	0.4317849205
117	0.4308543189
118	0.4296998519
119	0.4289369546
120	0.4282977724
121	0.4276287284
122	0.4268053438
123	0.4258292994
124	0.4250179494
125	0.4242641651
126	0.423099834
127	0.4218602172
128	0.421053044
129	0.4198947781
130	0.4191715865
131	0.4183127093
132	0.4173956938
133	0.4166293903
134	0.4156961182
135	0.4149674699
136	0.4142606457
137	0.4135055651
138	0.4125001927
139	0.4118855025
140	0.4109461642
141	0.410322214
142	0.4098743269
143	0.4090953488
144	0.4083776397
145	0.4077294503
146	0.4069687634
147	0.4062676588
148	0.4054780324
149	0.4045341834
150	0.4038592639
151	0.4033397635
152	0.4027412778
153	0.4021408144
154	0.4018262832
155	0.4009822813
156	0.400494464
157	0.3998480181
158	0.3990184101
159	0.3983954636
160	0.3980804709
161	0.3975396738
162	0.3968867756
163	0.3963090535
164	0.3957074907
165	0.3953164704
166	0.3946508748
167	0.3942593793
168	0.3937637294
