iter	Passed	Remaining
0	2	1338
1	5	1370
2	8	1346
3	11	1382
4	14	1403
5	16	1388
6	19	1400
7	22	1406
8	25	1376
9	27	1343
10	29	1329
11	32	1337
12	36	1356
13	38	1353
14	41	1347
15	44	1346
16	47	1354
17	50	1352
18	53	1352
19	56	1351
20	59	1348
21	62	1353
22	65	1356
23	68	1349
24	70	1342
25	73	1339
26	77	1353
27	80	1360
28	83	1357
29	86	1357
30	89	1357
31	93	1368
32	96	1365
33	99	1361
34	102	1359
35	105	1360
36	108	1363
37	112	1361
38	114	1356
39	117	1355
40	121	1360
41	124	1355
42	127	1354
43	130	1349
44	133	1345
45	136	1350
46	139	1347
47	142	1342
48	145	1338
49	148	1336
50	152	1339
51	154	1334
52	157	1330
53	160	1325
54	163	1322
55	166	1321
56	169	1317
57	172	1313
58	175	1309
59	178	1307
60	181	1307
61	184	1302
62	187	1298
63	189	1293
64	193	1291
65	196	1289
66	198	1285
67	201	1280
68	204	1277
69	207	1273
70	210	1273
71	213	1269
72	216	1265
73	219	1261
74	222	1258
75	225	1258
76	228	1255
77	231	1250
78	234	1247
79	237	1244
80	239	1240
81	242	1236
82	245	1232
83	248	1228
84	251	1226
85	254	1226
86	257	1222
87	260	1218
88	263	1215
89	265	1211
90	291	1310
91	299	1330
92	309	1353
93	315	1362
94	320	1365
95	324	1364
96	327	1362
97	331	1361
98	334	1355
99	337	1349
100	339	1342
101	342	1336
102	345	1330
103	347	1323
104	349	1315
105	352	1308
106	354	1301
107	356	1295
108	359	1290
109	362	1284
110	364	1278
111	367	1272
112	369	1267
113	373	1264
114	376	1259
115	379	1256
116	382	1252
117	385	1247
118	389	1245
119	393	1244
120	396	1241
121	399	1237
122	402	1234
123	405	1230
124	408	1226
125	411	1222
126	415	1219
127	418	1216
128	421	1212
129	424	1207
130	427	1203
131	431	1201
132	433	1196
133	436	1192
134	439	1187
135	442	1183
136	445	1181
137	448	1177
138	451	1173
139	454	1168
140	457	1164
141	460	1162
142	463	1157
143	466	1153
144	469	1149
145	472	1145
146	476	1143
147	479	1139
148	481	1134
149	484	1131
150	487	1127
151	491	1125
152	494	1121
153	497	1117
154	500	1113
155	503	1111
156	506	1107
157	509	1102
158	512	1098
159	515	1094
160	518	1092
161	521	1088
162	524	1084
163	527	1080
164	530	1076
165	534	1074
166	536	1070
167	539	1066
168	542	1062
169	545	1059
170	549	1057
171	552	1053
172	555	1049
173	558	1045
174	561	1042
175	564	1039
176	567	1036
177	570	1031
178	573	1027
179	576	1024
180	579	1021
181	582	1018
182	585	1014
183	588	1010
184	591	1007
185	594	1004
186	597	1000
187	600	996
188	603	993
189	607	990
190	610	987
191	612	983
192	615	979
193	618	975
194	622	973
195	625	969
196	628	966
197	631	962
198	633	958
199	637	956
200	640	953
201	643	949
202	646	946
203	649	942
204	653	939
205	655	936
206	658	932
207	661	928
208	665	926
209	668	923
210	671	919
211	674	916
212	677	912
213	681	910
214	683	906
215	686	902
216	689	898
217	691	894
218	695	891
219	698	889
220	701	885
221	704	881
222	707	878
223	711	876
224	713	872
225	716	868
226	719	865
227	722	861
228	727	860
229	734	862
230	738	859
231	741	856
232	745	853
233	750	852
234	754	850
235	759	849
236	762	846
237	765	842
238	769	839
239	772	836
240	775	833
241	778	829
242	781	826
243	785	823
244	788	820
245	791	816
246	794	813
247	797	810
248	801	808
249	805	805
250	807	801
251	811	798
252	815	796
253	818	793
254	822	789
255	825	786
256	829	784
257	832	781
258	835	777
259	839	774
260	843	772
261	846	768
262	865	779
263	868	776
264	871	772
265	874	769
266	877	765
267	880	762
268	883	758
269	887	755
270	890	752
271	893	749
272	897	745
273	900	742
274	905	740
275	908	737
276	912	734
277	916	731
278	920	728
279	923	725
280	926	722
281	931	719
282	935	717
283	938	713
284	941	710
285	945	707
286	948	704
287	952	700
288	955	697
289	958	694
290	963	691
291	966	688
292	969	684
293	972	681
294	976	678
295	980	675
296	983	672
297	986	668
298	989	665
299	992	661
300	995	657
301	997	654
302	1000	650
303	1004	647
304	1007	644
305	1010	640
306	1012	636
307	1015	633
308	1019	630
309	1022	626
310	1025	623
311	1028	619
312	1031	616
313	1034	612
314	1037	609
315	1040	605
316	1043	602
317	1046	598
318	1049	595
319	1052	592
320	1055	588
321	1058	585
322	1061	581
323	1065	578
324	1068	575
325	1070	571
326	1073	568
327	1077	564
328	1080	561
329	1083	558
330	1086	554
331	1089	551
332	1093	548
333	1096	544
334	1099	541
335	1102	537
336	1105	534
337	1108	531
338	1111	527
339	1114	524
340	1117	520
341	1120	517
342	1123	514
343	1126	510
344	1129	507
345	1132	503
346	1135	500
347	1138	497
348	1141	493
349	1144	490
350	1146	486
351	1150	483
352	1153	480
353	1156	476
354	1159	473
355	1161	469
356	1165	466
357	1168	463
358	1171	460
359	1174	456
360	1176	453
361	1179	449
362	1183	446
363	1186	443
364	1189	439
365	1191	436
366	1195	433
367	1198	429
368	1201	426
369	1204	423
370	1207	419
371	1211	416
372	1213	413
373	1217	410
374	1220	406
375	1223	403
376	1226	400
377	1229	396
378	1232	393
379	1235	390
380	1239	387
381	1242	383
382	1245	380
383	1248	377
384	1251	373
385	1254	370
386	1257	367
387	1260	363
388	1263	360
389	1266	357
390	1269	354
391	1272	350
392	1275	347
393	1278	344
394	1282	340
395	1285	337
396	1288	334
397	1291	330
398	1294	327
399	1297	324
400	1300	321
401	1303	317
402	1306	314
403	1308	311
404	1312	307
405	1315	304
406	1318	301
407	1320	297
408	1324	294
409	1328	291
410	1331	288
411	1334	285
412	1337	281
413	1340	278
414	1344	275
415	1346	271
416	1349	268
417	1352	265
418	1355	262
419	1358	258
420	1361	255
421	1364	252
422	1367	248
423	1370	245
424	1373	242
425	1376	239
426	1379	235
427	1382	232
428	1385	229
429	1388	226
430	1391	222
431	1394	219
432	1397	216
433	1400	213
434	1403	209
435	1406	206
436	1409	203
437	1411	199
438	1415	196
439	1418	193
440	1421	190
441	1424	186
442	1427	183
443	1430	180
444	1433	177
445	1436	173
446	1439	170
447	1442	167
448	1446	164
449	1449	161
450	1452	157
451	1455	154
452	1459	151
453	1462	148
454	1465	144
455	1468	141
456	1472	138
457	1475	135
458	1478	132
459	1481	128
460	1484	125
461	1488	122
462	1490	119
463	1493	115
464	1496	112
465	1499	109
466	1503	106
467	1506	102
468	1509	99
469	1511	96
470	1514	93
471	1518	90
472	1521	86
473	1524	83
474	1526	80
475	1529	77
476	1533	73
477	1536	70
478	1538	67
479	1541	64
480	1544	61
481	1548	57
482	1551	54
483	1554	51
484	1556	48
485	1560	44
486	1563	41
487	1566	38
488	1569	35
489	1572	32
490	1575	28
491	1578	25
492	1581	22
493	1584	19
494	1587	16
495	1591	12
496	1594	9
497	1596	6
498	1599	3
499	1602	0
